index,ithick,othick,width,ys0,ys1,work_roll_diam_1,work_roll_diam_2,work_roll_diam_3,work_roll_diam_4,work_roll_mileage_1,work_roll_mileage_2,work_roll_mileage_3,work_roll_mileage_4,reduction_1,reduction_2,reduction_3,reduction_4,tension_1,tension_2,tension_3,tension_4,tension_5,roll_speed_1,roll_speed_2,roll_speed_3,roll_speed_4,force_1,force_2,force_3,force_4,torque_1,torque_2,torque_3,torque_4,gap_1,gap_2,gap_3,gap_4,current_1,current_2,current_3,current_4,Anomaly_Reduction,Anomaly_Electric_1,Anomaly_Bearing_1,Anomaly_WorkRoll_1,Anomaly_Electric_2,Anomaly_Bearing_2,Anomaly_WorkRoll_2,Anomaly_Electric_3,Anomaly_Bearing_3,Anomaly_WorkRoll_3,Anomaly_Electric_4,Anomaly_Bearing_4,Anomaly_WorkRoll_4,class
0,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.2893686657028171,0.1939203285957021,0.1168403305935866,0.0639793957624697,87675.86361888914,236637.3742128907,295351.6365142498,355751.3427328087,86212.92299872883,8.881753303566365,11.018455890462008,12.476176474258272,13.328954958658413,7996986.317009558,5744603.874402493,4004179.283125575,3306215.187480607,82236.09297799946,36862.15514207085,35824.384226686816,18619.688583754425,2.205290385931466,1.8544542997690328,1.638796269386797,1.4676779872371333,4299.01211307105,2441.3670601061986,2672.777356074203,1536.8099481499703,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,1.1809914166449582,1.465105074027626,1.6589356656337673,1.7723281497474237,0.2849652519985557,0.1987809005795982,0.1136762178339946,0.0674414342044235,90680.4512076399,235244.32374977623,295155.21312871814,354188.4286000321,85816.13133030987,10.384028464663638,12.960285734795136,14.622518311674638,15.68,7837515.200376676,5745322.712990107,4133864.635223714,3538861.446617516,61071.378615382586,37684.15894139696,27183.71194138569,15440.684734514569,2.3075944669502837,1.7674824622836989,1.6980294135584786,1.4445913564814186,3952.054537013611,3056.527446887271,2304.790894569019,1435.7179980789929,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,3.5629704878092205,4.435169681929798,5.027866614022454,5.386202504705794,0.2909762666404394,0.1865674736412081,0.1173155290700509,0.06983677368107,91404.92388251828,238624.8351585392,296275.1297382665,355325.0067504011,86438.03048325409,10.472062960839205,12.87391716153252,14.58495938868082,15.679999999999998,7964917.218637204,5710673.589895504,4154114.928722433,3421805.923688929,65316.39533980065,31895.630879266388,29160.598272956464,13677.18885003505,2.1618555655325093,1.7881216610092852,1.715015908251822,1.5004297210450142,4139.914787970578,2528.688043692461,2500.860850740245,1347.208038908061,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,4.625566445620548,5.741480805936454,6.507796495002909,6.977245709926018,0.2926168855670149,0.1824252687370439,0.1218365003388738,0.0676275594900179,89667.36817510065,237046.54932867788,294610.1036675961,355112.2490762765,87972.5340328506,10.034970490348192,12.274071233643168,13.976977223921969,14.990766153788227,8018992.087338285,5527889.503467569,4296696.200703836,3495230.5322627537,68157.18907949349,28677.90664368645,27605.467054186774,15348.634669227908,2.2377156518018526,1.8416596820165896,1.6890237830792318,1.4860215893806907,4051.479349575849,2123.041703268801,2391.945142573229,1460.0787119346976,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,5.690626860109053,7.044187914855101,7.991241331210913,8.568288915146242,0.2876000606833048,0.1869620984639017,0.1235735590875268,0.0671822052936512,88908.62209817507,236131.59446589608,298177.5020621957,353961.76035871275,86029.59025773699,10.326553531147605,12.701195739629506,14.492027107723862,15.53575327353822,7929130.418273929,5438371.39573093,4311020.133961218,3505984.7854858623,63930.0555590508,25821.82538805393,30865.166430059904,16440.61749409973,2.2304481781816032,1.769542206271861,1.581697283044028,1.513111838317831,3831.867439253776,2034.8567043759097,2613.158306011715,1595.83804013224,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,6.890431462056733,8.519893536549798,9.675017119807954,10.373331441299053,0.300596519580536,0.1867400222462165,0.1082403828539392,0.0664405748701518,90684.20886660051,238132.35597058988,298763.854672773,356373.1308130213,88478.56233868918,9.458579352236802,11.630449808142917,13.042135553709391,13.97033247443822,8258961.048695954,5525584.714509284,3976814.635623912,3516330.930984075,71520.85715593898,31867.85728600437,23524.537883921443,15552.107689279184,2.185628018211058,1.7862821941298912,1.542479101846538,1.587373990048425,4159.581795834331,2189.330190815466,1867.2232900418303,1217.2063877128276,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,8.048159591425947,9.943458154308129,11.27137177681096,12.0832972067681,0.2932093426939403,0.1846290832273097,0.1184310124159006,0.0679383518574787,89769.0437281571,234211.4506549578,293489.8873713751,354889.3928377226,86942.92991042629,10.131249434918976,12.42532597927254,14.094558853894796,15.121916969744904,7854624.263871047,5254765.049628914,4377257.556258825,3631291.63962395,66840.02555564797,27774.26807876395,31800.54149349577,16832.12768028299,2.1393265970227846,1.887685764746807,1.659758373190769,1.4982739782112624,4062.506300671889,2097.227299790035,2573.199538425446,1530.9688656521596,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,10.263850689052294,12.711182452059576,14.449470428842693,15.514290336180052,0.2791406098550693,0.206857687356652,0.1057338622267313,0.0738560511490414,83597.29874380543,235877.35345759516,298471.4145484519,358971.27931879606,90179.35832307748,10.300124099067064,12.986476619484955,14.521937117983027,15.68,7682207.478634462,5789419.160811894,3965269.516724397,3455339.7454117257,62431.8073666033,32220.46748992428,22066.02052367588,16341.170859557616,2.2591215606758626,1.7623794326707047,1.655355733556464,1.569027038697149,3891.998494931011,2524.2525413042054,1977.7775244469813,1576.7618815151511,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,11.37646497203832,14.113975198392772,16.01812285464757,17.208036138602086,0.3020067252888831,0.1818719340348748,0.112075214911943,0.0661045691692325,87595.99090989392,238820.64099107025,295021.37278544053,351671.1734673993,90145.04574946628,9.2587673295633,11.317014676230384,12.745465456410315,13.6476365936091,8095110.206024876,5368251.890038796,3976066.283165848,3335796.0057531004,69386.08421360333,30224.35750922785,28275.85242740539,14277.259244400131,2.2196887797678264,1.8161253568134077,1.5617020885014148,1.5128759519049677,3959.070506745009,1933.4737878087692,2212.08523790783,1223.0573929472098,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,12.525528269004598,15.518478166532311,17.5999043205183,18.90178194102412,0.285473316799882,0.1990473517911477,0.1144245890514334,0.0656789869046657,87291.67360026718,237021.96346648512,294299.77155720704,353749.6093003125,85929.83903287767,10.391412036870118,12.973815693234974,14.65015348533484,15.679999999999998,7824000.154102465,5684589.983341641,4266832.413690448,3412685.4521268094,67394.45012754884,36300.42652986177,28959.85967297086,15770.11239816992,2.2976492182174164,1.7336238973637197,1.5857498111971078,1.5049576737277617,4262.6491448234365,2824.24851747873,2632.05379504187,1409.5446778894834,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
